Corrida6('N =', 35, '   tiempo transcurrido =', 2.330000097572338e-05, '[seg] ', '   uso memoria total=', 14700, '[bytes] ', '   flops =', 1840128678.3065848, '[flops/seg]')
Corrida6('N =', 49, '   tiempo transcurrido =', 5.120000059832819e-05, '[seg] ', '   uso memoria total=', 28812, '[bytes] ', '   flops =', 2297832004.397311, '[flops/seg]')
Corrida6('N =', 50, '   tiempo transcurrido =', 3.389999983482994e-05, '[seg] ', '   uso memoria total=', 30000, '[bytes] ', '   flops =', 3687315652.183898, '[flops/seg]')
Corrida6('N =', 75, '   tiempo transcurrido =', 5.4799998906673864e-05, '[seg] ', '   uso memoria total=', 67500, '[bytes] ', '   flops =', 7698449058.702839, '[flops/seg]')
Corrida6('N =', 100, '   tiempo transcurrido =', 7.539999933214858e-05, '[seg] ', '   uso memoria total=', 120000, '[bytes] ', '   flops =', 13262599586.968779, '[flops/seg]')
Corrida6('N =', 125, '   tiempo transcurrido =', 0.00011170000107085798, '[seg] ', '   uso memoria total=', 187500, '[bytes] ', '   flops =', 17485451936.21812, '[flops/seg]')
Corrida6('N =', 150, '   tiempo transcurrido =', 0.00021809999998367857, '[seg] ', '   uso memoria total=', 270000, '[bytes] ', '   flops =', 15474552958.517042, '[flops/seg]')
Corrida6('N =', 250, '   tiempo transcurrido =', 0.0007187999999587191, '[seg] ', '   uso memoria total=', 750000, '[bytes] ', '   flops =', 21737618253.891693, '[flops/seg]')
Corrida6('N =', 500, '   tiempo transcurrido =', 0.005116399999678833, '[seg] ', '   uso memoria total=', 3000000, '[bytes] ', '   flops =', 24431240717.662125, '[flops/seg]')
Corrida6('N =', 700, '   tiempo transcurrido =', 0.014543999999659718, '[seg] ', '   uso memoria total=', 5880000, '[bytes] ', '   flops =', 23583608361.387863, '[flops/seg]')
Corrida6('N =', 750, '   tiempo transcurrido =', 0.019562200001018937, '[seg] ', '   uso memoria total=', 6750000, '[bytes] ', '   flops =', 21565825928.47562, '[flops/seg]')
Corrida6('N =', 1000, '   tiempo transcurrido =', 0.0334590999991633, '[seg] ', '   uso memoria total=', 12000000, '[bytes] ', '   flops =', 29887235461.354507, '[flops/seg]')
Corrida6('N =', 2000, '   tiempo transcurrido =', 0.16771410000001197, '[seg] ', '   uso memoria total=', 48000000, '[bytes] ', '   flops =', 47700223177.41579, '[flops/seg]')
Corrida6('N =', 5000, '   tiempo transcurrido =', 2.623162699999739, '[seg] ', '   uso memoria total=', 300000000, '[bytes] ', '   flops =', 47652400668.861465, '[flops/seg]')

Corrida7('N =', 1, '   tiempo transcurrido =', 0.014939599999706843, '[seg] ', '   uso memoria total=', 12, '[bytes] ', '   flops =', 66.93619641888824, '[flops/seg]')
Corrida7('N =', 4, '   tiempo transcurrido =', 3.7200001315795816e-05, '[seg] ', '   uso memoria total=', 192, '[bytes] ', '   flops =', 1720430.0466737996, '[flops/seg]')
Corrida7('N =', 10, '   tiempo transcurrido =', 1.1399999493733048e-05, '[seg] ', '   uso memoria total=', 1200, '[bytes] ', '   flops =', 87719302.141174, '[flops/seg]')
Corrida7('N =', 16, '   tiempo transcurrido =', 1.1200001608813182e-05, '[seg] ', '   uso memoria total=', 3072, '[bytes] ', '   flops =', 365714233.1816179, '[flops/seg]')
Corrida7('N =', 20, '   tiempo transcurrido =', 1.359999987471383e-05, '[seg] ', '   uso memoria total=', 4800, '[bytes] ', '   flops =', 588235299.536599, '[flops/seg]')
Corrida7('N =', 35, '   tiempo transcurrido =', 1.720000000204891e-05, '[seg] ', '   uso memoria total=', 14700, '[bytes] ', '   flops =', 2492732557.842594, '[flops/seg]')
Corrida7('N =', 49, '   tiempo transcurrido =', 4.11000000895001e-05, '[seg] ', '   uso memoria total=', 28812, '[bytes] ', '   flops =', 2862506076.4916162, '[flops/seg]')
Corrida7('N =', 50, '   tiempo transcurrido =', 2.3199998395284638e-05, '[seg] ', '   uso memoria total=', 30000, '[bytes] ', '   flops =', 5387931407.159324, '[flops/seg]')
Corrida7('N =', 75, '   tiempo transcurrido =', 3.909999941242859e-05, '[seg] ', '   uso memoria total=', 67500, '[bytes] ', '   flops =', 10789642105.874304, '[flops/seg]')
Corrida7('N =', 100, '   tiempo transcurrido =', 6.740000026184134e-05, '[seg] ', '   uso memoria total=', 120000, '[bytes] ', '   flops =', 14836795194.586256, '[flops/seg]')
Corrida7('N =', 125, '   tiempo transcurrido =', 9.750000026542693e-05, '[seg] ', '   uso memoria total=', 187500, '[bytes] ', '   flops =', 20032051227.51748, '[flops/seg]')
Corrida7('N =', 150, '   tiempo transcurrido =', 0.0001691999987087911, '[seg] ', '   uso memoria total=', 270000, '[bytes] ', '   flops =', 19946808662.857548, '[flops/seg]')
Corrida7('N =', 250, '   tiempo transcurrido =', 0.0005968999994365731, '[seg] ', '   uso memoria total=', 750000, '[bytes] ', '   flops =', 26176914080.66473, '[flops/seg]')
Corrida7('N =', 500, '   tiempo transcurrido =', 0.0047635999999329215, '[seg] ', '   uso memoria total=', 3000000, '[bytes] ', '   flops =', 26240658326.00558, '[flops/seg]')
Corrida7('N =', 700, '   tiempo transcurrido =', 0.010948999999527587, '[seg] ', '   uso memoria total=', 5880000, '[bytes] ', '   flops =', 31327061833.48245, '[flops/seg]')
Corrida7('N =', 750, '   tiempo transcurrido =', 0.01601450000089244, '[seg] ', '   uso memoria total=', 6750000, '[bytes] ', '   flops =', 26343313870.335644, '[flops/seg]')
Corrida7('N =', 1000, '   tiempo transcurrido =', 0.03602129999853787, '[seg] ', '   uso memoria total=', 12000000, '[bytes] ', '   flops =', 27761352312.120625, '[flops/seg]')
Corrida7('N =', 2000, '   tiempo transcurrido =', 0.18143419999978505, '[seg] ', '   uso memoria total=', 48000000, '[bytes] ', '   flops =', 44093120260.73077, '[flops/seg]')
Corrida7('N =', 5000, '   tiempo transcurrido =', 2.569200899999487, '[seg] ', '   uso memoria total=', 300000000, '[bytes] ', '   flops =', 48653260241.355576, '[flops/seg]')

Corrida8('N =', 1, '   tiempo transcurrido =', 0.011194599999726051, '[seg] ', '   uso memoria total=', 12, '[bytes] ', '   flops =', 89.32878352281203, '[flops/seg]')
Corrida8('N =', 4, '   tiempo transcurrido =', 4.400000034365803e-05, '[seg] ', '   uso memoria total=', 192, '[bytes] ', '   flops =', 1454545.4431848587, '[flops/seg]')
Corrida8('N =', 10, '   tiempo transcurrido =', 1.0199999451288022e-05, '[seg] ', '   uso memoria total=', 1200, '[bytes] ', '   flops =', 98039220.96032302, '[flops/seg]')
Corrida8('N =', 16, '   tiempo transcurrido =', 8.999999408842996e-06, '[seg] ', '   uso memoria total=', 3072, '[bytes] ', '   flops =', 455111141.00468206, '[flops/seg]')
Corrida8('N =', 20, '   tiempo transcurrido =', 9.899998985929415e-06, '[seg] ', '   uso memoria total=', 4800, '[bytes] ', '   flops =', 808080890.8536426, '[flops/seg]')
Corrida8('N =', 35, '   tiempo transcurrido =', 1.2999998943996616e-05, '[seg] ', '   uso memoria total=', 14700, '[bytes] ', '   flops =', 3298077190.983129, '[flops/seg]')
Corrida8('N =', 49, '   tiempo transcurrido =', 3.80000001314329e-05, '[seg] ', '   uso memoria total=', 28812, '[bytes] ', '   flops =', 3096026305.0810604, '[flops/seg]')
Corrida8('N =', 50, '   tiempo transcurrido =', 2.029999996011611e-05, '[seg] ', '   uso memoria total=', 30000, '[bytes] ', '   flops =', 6157635480.078347, '[flops/seg]')
Corrida8('N =', 75, '   tiempo transcurrido =', 3.769999966607429e-05, '[seg] ', '   uso memoria total=', 67500, '[bytes] ', '   flops =', 11190318401.504908, '[flops/seg]')
Corrida8('N =', 100, '   tiempo transcurrido =', 5.310000051395036e-05, '[seg] ', '   uso memoria total=', 120000, '[bytes] ', '   flops =', 18832391531.47054, '[flops/seg]')
